,Date,Mod Score,Average Score,Stock Price,Change
0,13/05/16,1.0,1.0,0.57,0.0
1,12/04/16,1.0,2.0,1.27,1.0
2,21/04/16,1.0,1.0,0.89,1.0
4,11/05/16,1.0,1.0,0.89,0.0
6,20/05/16,1.0,1.0,0.39,1.0
12,09/05/16,1.0,2.0,0.3,0.0
14,26/04/16,1.0,1.0,1.73,0.0
19,15/04/16,1.0,2.0,1.15,0.0
22,25/05/16,1.0,2.0,0.24,0.0
23,16/05/16,1.0,1.0,0.71,0.0
24,11/04/16,1.0,3.0,1.71,0.0
26,17/05/16,1.0,2.0,1.47,0.0
29,27/05/16,2.0,3.0,0.18,0.0
32,13/04/16,1.0,3.0,1.72,0.0
33,26/05/16,1.0,1.0,1.23,1.0
34,27/04/16,1.0,1.0,0.95,1.0
36,14/04/16,1.0,2.0,0.22,1.0
37,24/05/16,2.0,3.0,1.46,1.0
38,20/04/16,1.0,2.0,0.01,0.0
39,18/04/16,2.0,3.0,0.71,1.0
41,22/04/16,1.0,1.0,0.65,0.0
42,14/06/16,-1.0,1.0,0.87,1.0
43,25/04/16,1.0,1.0,0.23,1.0
46,19/04/16,1.0,2.0,1.19,1.0
49,28/04/16,1.0,1.0,2.85,0.0
52,19/05/16,1.0,2.0,0.24,0.0
53,18/05/16,1.0,1.0,0.85,1.0
56,10/05/16,1.0,2.0,0.88,1.0
58,23/05/16,1.0,-2.0,1.45,0.0
64,12/05/16,1.0,2.0,0.3,1.0
66,29/04/16,1.0,-2.0,0.76,1.0
